name,rating,price,review,brand,link,product_id
"Apple iPhone 11, 64GB, Black - Fully Unlocked (Renewed)",4.4,547.00,857,Visit the Amazon Renewed Store,amazon,B07ZPKN6YR
"Apple iPhone 11 Pro, 64GB, Midnight Green - Fully Unlocked (Renewed)",4.4,677.99,439,Visit the Amazon Renewed Store,amazon,B07ZQRMWVB
"Apple iPhone 11 Pro Max, 256GB, Midnight Green, Fully Unlocked (Renewed)",4.2,874.99,431,Visit the Amazon Renewed Store,amazon,B07Z4681LQ
"Apple iPhone XR, 64GB, White - Fully Unlocked (Renewed)",4.5,$599.99,"21,008",Visit the Amazon Renewed Store,amazon,B07P978C2R
Apple iPhone 11 (128GB) - Black (Verizon),1.0,947.16,1 rating,Visit the Apple Store,amazon,B07Y3LNH5Q
"Apple iPhone 11 Pro Max (64GB, Midnight Green) - for T-Mobile (Renewed)",4.4,829.97,5,Visit the Amazon Renewed Store,amazon,B07ZZLJ8Z7
"Apple iPhone XS Max, 64GB, Gold - For Verizon (Renewed)",4.3,539.95,62,Visit the Amazon Renewed Store,amazon,B07K8TVZ3J
"Apple iPhone XS, 256GB , Space Gray - Fully Unlocked (Renewed)",4.3,414.99,"5,279",Visit the Amazon Renewed Store,amazon,B07TJBCC7H
"Apple iPhone X, 256GB, Silver - Fully Unlocked (Renewed)",4.2,$385.00,"7,468",Visit the Amazon Renewed Store,amazon,B081TJ7B88
,4.1,,,,amazon,B07VPRGXXV
,3.8,,,,amazon,B08L5SCXNB
"Apple iPhone XS Max, 64GB, Space Gray - Fully Unlocked (Renewed)",4.5,489.99,"5,658",Visit the Amazon Renewed Store,amazon,B07K8RNW7H
"Apple iPhone 8 Plus, 256GB, Gold - Fully Unlocked (Renewed)",4.4,$364.86,"11,607",Visit the Amazon Renewed Store,amazon,B077568ZJ3
,4.0,,,,amazon,B08L5Q4BLG
"Apple iPhone 8, 64GB, Silver - Fully Unlocked (Renewed)",4.4,$215.95,"19,410",Visit the Amazon Renewed Store,amazon,B07756QYST
Tracfone Apple iPhone 7 4G LTE Prepaid Smartphone - 32GB - Black - Carrier Locked,4.6,198.99,162,Brand: TracFone,amazon,B08CL4CCG2
